game_date,batter,estimated_woba_using_speedangle,woba_value,woba_denom,first_name,last_name
2024-04-01,606466,0.103,0.0,1,ketel,marte
2024-04-01,672695,0.003,0.0,1,geraldo,perdomo
2024-04-01,678489,0.676,1.25,1,jorge,barrosa
2024-04-01,672515,0.0,0.0,1,gabriel,moreno
2024-04-01,592450,0.124,0.0,1,aaron,judge
2024-04-01,665742,0.689131,0.7,1,juan,soto
2024-04-01,650402,0.54,0.0,1,gleyber,torres
2024-04-01,553993,0.008,0.0,1,eugenio,suárez
2024-04-01,592626,0.301,0.0,1,joc,pederson
2024-04-01,572233,0.0,0.0,1,christian,walker
2024-04-01,665828,0.008,0.0,1,oswaldo,cabrera
2024-04-01,669224,0.237,0.0,1,austin,wells
2024-04-01,683011,0.416,1.25,1,anthony,volpe
2024-04-01,657077,0.0,0.0,1,alex,verdugo
2024-04-01,666971,0.835,0.0,1,lourdes,gurriel
2024-04-01,682998,0.004,0.0,1,corbin,carroll
2024-04-01,606466,0.67,0.0,1,ketel,marte
2024-04-01,672695,0.720192,0.7,1,geraldo,perdomo
2024-04-01,664983,0.089,0.9,1,jake,mccarthy
2024-04-01,672515,0.921,1.6,1,gabriel,moreno
2024-04-01,519317,0.0,0.0,1,giancarlo,stanton
2024-04-01,519203,0.233,0.0,1,anthony,rizzo
2024-04-01,592450,0.854,0.0,1,aaron,judge
2024-04-01,553993,0.095,0.0,1,eugenio,suárez
2024-04-01,592626,0.689131,0.7,1,joc,pederson
2024-04-01,572233,0.102,0.0,1,christian,walker
2024-04-01,666971,0.196,0.0,1,lourdes,gurriel
2024-04-01,665742,0.044,0.0,1,juan,soto
2024-04-01,650402,0.003,0.0,1,gleyber,torres
2024-04-01,665828,0.323,0.0,1,oswaldo,cabrera
2024-04-01,682998,0.431,0.0,1,corbin,carroll
2024-04-01,606466,0.135,0.9,1,ketel,marte
2024-04-01,672695,0.05,0.0,1,geraldo,perdomo
2024-04-01,664983,0.0,0.0,1,jake,mccarthy
2024-04-01,669224,0.174,0.0,1,austin,wells
2024-04-01,683011,0.764,0.9,1,anthony,volpe
2024-04-01,657077,0.18,0.0,1,alex,verdugo
2024-04-01,519317,0.075,0.0,1,giancarlo,stanton
2024-04-01,672515,0.096,0.0,1,gabriel,moreno
2024-04-01,553993,0.018,0.0,1,eugenio,suárez
2024-04-01,592626,0.689131,0.7,1,joc,pederson
2024-04-01,572233,0.0,0.0,1,christian,walker
2024-04-01,519203,0.57,0.0,1,anthony,rizzo
2024-04-01,592450,0.155,0.0,1,aaron,judge
2024-04-01,665742,0.0,0.0,1,juan,soto
2024-04-01,650402,0.921,0.9,1,gleyber,torres
2024-04-01,666971,0.0,0.0,1,lourdes,gurriel
2024-04-01,682998,0.111,0.0,1,corbin,carroll
2024-04-01,606466,0.536,0.0,1,ketel,marte
2024-04-01,672695,0.689131,0.7,1,geraldo,perdomo
2024-04-01,664983,0.161,0.9,1,jake,mccarthy
2024-04-01,665828,0.0,0.0,1,oswaldo,cabrera
2024-04-01,669224,0.012,0.0,1,austin,wells
2024-04-01,683011,0.534,0.9,1,anthony,volpe
2024-04-01,657077,0.689131,0.7,1,alex,verdugo
2024-04-01,519317,0.0,0.0,1,giancarlo,stanton
2024-04-01,519203,0.689131,0.7,1,anthony,rizzo
2024-04-01,672515,0.0,0.0,1,gabriel,moreno
2024-04-01,553993,0.0,0.0,1,eugenio,suárez
2024-04-01,592626,0.15,0.0,1,joc,pederson
2024-04-01,592450,0.035,0.0,1,aaron,judge
2024-04-01,665742,0.118,0.0,1,juan,soto
2024-04-01,650402,0.416,1.25,1,gleyber,torres
2024-04-01,665828,0.806,0.9,1,oswaldo,cabrera
2024-04-01,669224,0.317,0.0,1,austin,wells
2024-04-01,683011,0.564,1.25,1,anthony,volpe
2024-04-01,572233,0.0,0.0,1,christian,walker
2024-04-01,666971,0.0,0.0,1,lourdes,gurriel
2024-04-01,682998,0.0,0.0,1,corbin,carroll
2024-04-01,606466,0.689131,0.7,1,ketel,marte
2024-04-01,657077,0.0,0.0,1,alex,verdugo
2024-04-01,519317,0.689131,0.7,1,giancarlo,stanton
2024-04-01,519203,0.314,0.0,1,anthony,rizzo
2024-04-01,592450,0.749,0.9,1,aaron,judge
2024-04-01,665742,0.689131,0.7,1,juan,soto
2024-04-01,650402,0.0,0.0,1,gleyber,torres
2024-04-01,676059,1.261,2.0,1,jordan,westburg
2024-04-01,656775,0.649,0.9,1,cedric,mullins
2024-04-01,669720,0.056,0.0,1,austin,hays
2024-04-01,677951,0.0,0.0,1,bobby,witt
2024-04-01,672580,0.003,0.0,1,maikel,garcía
2024-04-01,664728,0.326,0.9,1,kyle,isbel
2024-04-01,676369,0.0,0.0,1,nelson,velázquez
2024-04-01,681297,0.0,0.0,1,colton,cowser
2024-04-01,663624,0.354,0.9,1,ryan,mountcastle
2024-04-01,623993,0.685,0.0,1,anthony,santander
2024-04-01,668939,0.474,0.9,1,adley,rutschman
2024-04-01,683002,0.644,0.9,1,gunnar,henderson
2024-04-01,602104,0.567,0.0,1,ramón,urías
2024-04-01,679845,0.0,0.0,1,nick,loftin
2024-04-01,592669,0.212,0.0,1,hunter,renfroe
2024-04-01,521692,0.216,0.0,1,salvador,pérez
2024-04-01,686469,0.552,0.9,1,vinnie,pasquantino
2024-04-01,677951,0.401,0.9,1,bobby,witt
2024-04-01,676059,0.181,0.0,1,jordan,westburg
2024-04-01,656775,0.022,0.0,1,cedric,mullins
2024-04-01,669720,0.287,0.0,1,austin,hays
2024-04-01,656811,0.822,0.9,1,ryan,o'hearn
2024-04-01,672580,0.043,0.0,1,maikel,garcía
2024-04-01,664728,0.487,0.0,1,kyle,isbel
2024-04-01,676369,0.934,1.25,1,nelson,velázquez
2024-04-01,679845,0.0,0.0,1,nick,loftin
2024-04-01,663624,0.0,0.0,1,ryan,mountcastle
2024-04-01,623993,0.26,0.0,1,anthony,santander
2024-04-01,668939,0.038,0.0,1,adley,rutschman
2024-04-01,592669,0.004,0.0,1,hunter,renfroe
2024-04-01,669004,0.0,0.0,1,mj,melendez
2024-04-01,521692,0.0,0.0,1,salvador,pérez
2024-04-01,683002,0.0,0.0,1,gunnar,henderson
