game_date,batter,first_name,last_name,estimated_woba_using_speedangle,woba_value,woba_denom,diff_OBA,rolling_100PA_diff_OBA,rolling_100PA_xwOBA,rolling_100PA_wOBA,diff_rolling_OBA
2024-04-01,453568,charlie,blackmon,0.051,0.0,1,0.051,0.051,0.051,0.0,0.051
2024-04-01,453568,charlie,blackmon,0.901,0.9,1,0.0010000000000000009,0.026,0.47600000000000003,0.45,0.026000000000000023
2024-04-01,453568,charlie,blackmon,1.405,0.0,1,1.405,0.4856666666666667,0.7856666666666667,0.3,0.48566666666666675
2024-04-01,453568,charlie,blackmon,0.593,0.0,1,0.593,0.5125,0.7375,0.225,0.5125000000000001
2024-04-02,453568,charlie,blackmon,0.447,0.9,1,-0.453,0.3194,0.6794,0.36,0.3194
2024-04-02,453568,charlie,blackmon,0.786,1.25,1,-0.46399999999999997,0.18883333333333333,0.6971666666666666,0.5083333333333333,0.1888333333333333
2024-04-02,453568,charlie,blackmon,0.122,0.0,1,0.122,0.1792857142857143,0.615,0.43571428571428567,0.17928571428571433
2024-04-02,453568,charlie,blackmon,0.278,0.9,1,-0.622,0.079125,0.572875,0.49375,0.079125
2024-04-03,453568,charlie,blackmon,0.269,0.9,1,-0.631,0.00022222222222222242,0.5391111111111111,0.5388888888888889,0.00022222222222223476
2024-04-03,453568,charlie,blackmon,0.688,1.25,1,-0.562,-0.05600000000000001,0.554,0.61,-0.05599999999999994
2024-04-03,453568,charlie,blackmon,0.179,0.0,1,0.179,-0.03463636363636364,0.519909090909091,0.5545454545454546,-0.034636363636363576
2024-04-03,453568,charlie,blackmon,0.586,0.9,1,-0.31400000000000006,-0.05791666666666667,0.5254166666666666,0.5833333333333334,-0.05791666666666673
2024-04-03,453568,charlie,blackmon,0.254,0.0,1,0.254,-0.03392307692307693,0.5045384615384616,0.5384615384615384,-0.033923076923076834
2024-04-05,453568,charlie,blackmon,0.158,0.0,1,0.158,-0.020214285714285723,0.47978571428571426,0.5,-0.02021428571428574
2024-04-05,453568,charlie,blackmon,0.091,0.0,1,0.091,-0.012800000000000008,0.45386666666666664,0.4666666666666667,-0.012800000000000034
2024-04-05,453568,charlie,blackmon,0.0,0.0,1,0.0,-0.012000000000000007,0.4255,0.4375,-0.01200000000000001
2024-04-05,453568,charlie,blackmon,0.008,0.0,1,0.008,-0.010823529411764713,0.40094117647058825,0.4117647058823529,-0.010823529411764676
2024-04-06,453568,charlie,blackmon,0.008,0.0,1,0.008,-0.009777777777777783,0.3791111111111111,0.3888888888888889,-0.009777777777777774
2024-04-06,453568,charlie,blackmon,0.679,0.9,1,-0.22099999999999997,-0.020894736842105268,0.39489473684210524,0.41578947368421054,-0.0208947368421053
2024-04-06,453568,charlie,blackmon,0.545,0.0,1,0.545,0.007399999999999999,0.4024,0.395,0.007399999999999962
2024-04-06,453568,charlie,blackmon,0.091,0.0,1,0.091,0.011380952380952379,0.38757142857142857,0.3761904761904762,0.01138095238095238
2024-04-06,453568,charlie,blackmon,0.057,0.0,1,0.057,0.013454545454545453,0.3725454545454545,0.3590909090909091,0.013454545454545386
2024-04-07,453568,charlie,blackmon,0.689131,0.7,1,-0.010868999999999907,0.012397000000000004,0.38631004347826087,0.3739130434782609,0.012396999999999991
2024-04-07,453568,charlie,blackmon,0.0,0.0,1,0.0,0.011880458333333337,0.3702137916666666,0.35833333333333334,0.011880458333333288
2024-04-07,453568,charlie,blackmon,0.018,0.0,1,0.018,0.012125240000000002,0.35612524,0.344,0.012125240000000037
2024-04-07,453568,charlie,blackmon,0.114,0.0,1,0.114,0.016043500000000002,0.3468127307692308,0.33076923076923076,0.016043500000000044
2024-04-08,453568,charlie,blackmon,0.915,2.0,1,-1.085,-0.024735888888888887,0.3678567037037037,0.3925925925925926,-0.02473588888888889
2024-04-08,453568,charlie,blackmon,0.689131,0.7,1,-0.010868999999999907,-0.024240642857142853,0.3793307857142857,0.4035714285714286,-0.02424064285714289
2024-04-08,453568,charlie,blackmon,0.0,0.0,1,0.0,-0.02340475862068965,0.3662504137931034,0.3896551724137931,-0.023404758620689692
2024-04-08,453568,charlie,blackmon,0.0,0.0,1,0.0,-0.022624599999999995,0.35404206666666665,0.3766666666666667,-0.02262460000000005
2024-04-08,453568,charlie,blackmon,0.561,1.6,1,-1.0390000000000001,-0.055410903225806454,0.36071812903225803,0.4161290322580645,-0.055410903225806496
2024-04-09,453568,charlie,blackmon,0.267,0.0,1,0.267,-0.045335562499999996,0.35778943750000003,0.403125,-0.04533556249999998
2024-04-09,453568,charlie,blackmon,0.689131,0.7,1,-0.010868999999999907,-0.044291121212121205,0.3678300909090909,0.4121212121212121,-0.0442911212121212
2024-04-09,453568,charlie,blackmon,0.689131,0.7,1,-0.010868999999999907,-0.04330811764705882,0.3772801176470588,0.42058823529411765,-0.04330811764705883
2024-04-09,453568,charlie,blackmon,0.13,0.9,1,-0.77,-0.06407074285714286,0.37021497142857146,0.4342857142857143,-0.06407074285714282
2024-04-10,453568,charlie,blackmon,0.0,0.0,1,0.0,-0.062291,0.35993122222222224,0.4222222222222222,-0.062290999999999985
2024-04-13,453568,charlie,blackmon,0.111,0.0,1,0.111,-0.05760745945945945,0.35320335135135134,0.4108108108108108,-0.05760745945945944
2024-04-13,453568,charlie,blackmon,0.0,0.0,1,0.0,-0.05609147368421052,0.3439085263157895,0.39999999999999997,-0.05609147368421047
2024-04-13,453568,charlie,blackmon,0.689131,0.7,1,-0.010868999999999907,-0.05493192307692307,0.3527603846153846,0.4076923076923077,-0.05493192307692307
